"","BlueGeneNames"
"576","TRINITY_DN15681_c0_g1"
"577","TRINITY_DN23433_c0_g1"
"578","TRINITY_DN1871_c0_g1"
"579","TRINITY_DN12162_c0_g1"
"580","TRINITY_DN6087_c0_g1"
"581","TRINITY_DN35913_c0_g1"
"582","TRINITY_DN363_c0_g2"
"583","TRINITY_DN11444_c0_g1"
"584","TRINITY_DN3599_c0_g1"
"585","TRINITY_DN13459_c0_g1"
"586","TRINITY_DN1165_c1_g1"
"587","TRINITY_DN2077_c0_g1"
"588","TRINITY_DN23925_c0_g1"
"589","TRINITY_DN39997_c0_g1"
"590","TRINITY_DN3391_c0_g1"
"591","TRINITY_DN5497_c0_g1"
"592","TRINITY_DN9168_c0_g1"
"593","TRINITY_DN55977_c0_g1"
"594","TRINITY_DN1780_c0_g1"
"595","TRINITY_DN25146_c0_g1"
"596","TRINITY_DN37294_c0_g1"
"597","TRINITY_DN7676_c0_g1"
"598","TRINITY_DN42137_c0_g1"
"599","TRINITY_DN25_c0_g1"
"600","TRINITY_DN7512_c0_g1"
"601","TRINITY_DN11390_c0_g1"
"602","TRINITY_DN3938_c0_g2"
"603","TRINITY_DN8546_c0_g1"
"604","TRINITY_DN26758_c1_g1"
"605","TRINITY_DN3601_c0_g1"
"606","TRINITY_DN16259_c0_g1"
"607","TRINITY_DN18399_c0_g1"
"608","TRINITY_DN3198_c1_g1"
"609","TRINITY_DN32719_c0_g1"
"610","TRINITY_DN50_c0_g1"
"611","TRINITY_DN3393_c0_g1"
"612","TRINITY_DN10699_c0_g1"
"613","TRINITY_DN12485_c0_g1"
"614","TRINITY_DN23746_c0_g1"
"615","TRINITY_DN19912_c0_g1"
"616","TRINITY_DN24307_c0_g1"
"617","TRINITY_DN1111_c0_g1"
"618","TRINITY_DN64589_c0_g1"
"619","TRINITY_DN1386_c1_g1"
"620","TRINITY_DN9443_c0_g1"
"621","TRINITY_DN15504_c0_g1"
"622","TRINITY_DN1905_c0_g1"
"623","TRINITY_DN50724_c0_g1"
"624","TRINITY_DN8493_c0_g1"
"625","TRINITY_DN392_c0_g1"
"626","TRINITY_DN1088_c0_g1"
"627","TRINITY_DN39475_c0_g1"
"628","TRINITY_DN29020_c0_g1"
"629","TRINITY_DN29256_c0_g1"
"630","TRINITY_DN3884_c0_g1"
"631","TRINITY_DN99733_c0_g1"
"632","TRINITY_DN1724_c0_g1"
"633","TRINITY_DN33746_c0_g1"
"634","TRINITY_DN368_c0_g1"
"635","TRINITY_DN2542_c7_g1"
"636","TRINITY_DN1762_c0_g1"
"637","TRINITY_DN305_c0_g1"
"638","TRINITY_DN2018_c0_g1"
"639","TRINITY_DN5270_c2_g1"
"640","TRINITY_DN12073_c0_g1"
"641","TRINITY_DN4772_c0_g1"
"642","TRINITY_DN11803_c0_g1"
"643","TRINITY_DN673_c0_g1"
"644","TRINITY_DN21231_c0_g1"
"645","TRINITY_DN95499_c0_g1"
"646","TRINITY_DN29972_c0_g1"
"647","TRINITY_DN1_c0_g1"
"648","TRINITY_DN3060_c0_g1"
"649","TRINITY_DN1053_c0_g1"
"650","TRINITY_DN1700_c0_g2"
"651","TRINITY_DN2270_c0_g1"
"652","TRINITY_DN6899_c0_g1"
"653","TRINITY_DN2628_c0_g1"
"654","TRINITY_DN30640_c0_g1"
"655","TRINITY_DN5199_c0_g1"
"656","TRINITY_DN1891_c0_g1"
"657","TRINITY_DN15291_c0_g1"
"658","TRINITY_DN10451_c0_g1"
"659","TRINITY_DN25374_c0_g1"
"660","TRINITY_DN11539_c0_g1"
"661","TRINITY_DN655_c0_g1"
"662","TRINITY_DN24319_c0_g1"
"663","TRINITY_DN5360_c0_g1"
"664","TRINITY_DN30397_c0_g1"
"665","TRINITY_DN45298_c0_g1"
"666","TRINITY_DN10995_c0_g1"
