"","turqGeneNames"
"644","TRINITY_DN13516_c0_g1"
"645","TRINITY_DN15840_c0_g1"
"646","TRINITY_DN13877_c0_g1"
"647","TRINITY_DN5126_c0_g1"
"648","TRINITY_DN2215_c0_g1"
"649","TRINITY_DN21435_c0_g1"
"650","TRINITY_DN1375_c0_g1"
"651","TRINITY_DN6364_c0_g1"
"652","TRINITY_DN13389_c0_g1"
"653","TRINITY_DN38770_c0_g1"
"654","TRINITY_DN326_c0_g1"
"655","TRINITY_DN12816_c0_g1"
"656","TRINITY_DN11518_c0_g1"
"657","TRINITY_DN5410_c0_g1"
"658","TRINITY_DN10108_c0_g1"
"659","TRINITY_DN1006_c0_g1"
"660","TRINITY_DN15104_c0_g1"
"661","TRINITY_DN3270_c0_g1"
"662","TRINITY_DN1163_c1_g1"
"663","TRINITY_DN70_c0_g1"
"664","TRINITY_DN1925_c0_g1"
"665","TRINITY_DN2674_c0_g1"
"666","TRINITY_DN3866_c0_g1"
